,지역,이용자수,이용금액,거주인구,근무인구,방문인구,년도
0,제주시 노형동,9157.985294117647,271085657.4264706,36141557.571294114,3576852.0539068626,13919984.643786764,2020
1,제주시 이도2동,8583.980501392758,246464163.54038998,34181815.84330362,3996607.8582674097,15998355.37077716,2020
2,제주시 연동,8414.312020460358,281049831.65984654,30004367.046524297,3038955.2741099745,13573546.49092583,2020
3,제주시 아라동,5584.395136778116,121991359.64741641,26650043.536565352,2932500.500422492,9009444.519981762,2020
4,제주시 애월읍,5099.073878627968,169992376.98680738,23426681.27385488,2120949.653435356,13859571.604023747,2020
5,제주시 일도2동,4578.771513353116,146230114.48961425,18235061.730632048,1121260.7645845697,6697780.750620178,2020
6,제주시 화북동,2666.4028268551237,70056992.38162544,16977751.270724382,1435888.5347067139,6390359.440865724,2020
7,제주시 삼양동,3253.479310344828,75944497.93103448,15016339.362037933,598925.7335034482,3359833.267062069,2020
8,제주시 한림읍,3441.130681818182,117994977.98295455,13652331.785230113,1185918.812599432,5973159.184187501,2020
9,제주시 조천읍,3408.804071246819,99998549.70992367,13553067.346307889,1297772.5662035623,7821326.499549618,2020
10,서귀포시 동홍동,2952.733944954128,91497590.18654434,12849562.172394495,1003764.2643853211,4827367.5911467895,2020
11,서귀포시 대정읍,2941.3431952662722,92373642.77514793,12418717.859594675,764977.6576360946,4318645.614553255,2020
12,서귀포시 안덕면,2526.4198895027625,96174566.48066299,9814879.151370166,1231439.5936325965,6707229.616729282,2020
13,서귀포시 남원읍,1970.0329341317365,76030651.45508982,9540723.526149701,751230.1305808383,4692909.289392216,2020
14,서귀포시 대륜동,2637.1768292682927,89853454.49390244,9103490.728817074,911224.3002804877,4916128.501304878,2020
15,제주시 오라동,2130.05625,69228990.053125,9061469.518393751,978087.2823375,7565846.351053124,2020
16,서귀포시 성산읍,2988.6536458333335,95807778.14583333,8939434.768539062,726562.9842708333,5372817.319567708,2020
