연월,갈매기살,갈비/삼겹살,갈치/생선구이,게장전문,고기부페,고등어전문,곰장어전문,곱창/양구이전문,국수/만두/칼국수,굴요리전문,기사식당,기타고기요리,기타서양음식전문,꼬치구이전문점,나이트클럽,낙지/오징어,냉면집,닭갈비전문,닭내장/닭발요리,닭도리탕전문,도너츠전문,도시락전문점,돈가스전문점,돌구이요리전문,돌솥/비빔밥전문점,동남아음식전문점,두부요리전문,떡/한과,떡볶이전문,라면김밥분식,룸살롱/단란주점,막창구이,매운탕전문,민물장어전문,민속주점,바닷가재/게요리전문,바베큐전문,버섯전문점,보리밥전문,복전문,부대찌개/섞어찌개,부페,불고기전문,불닭전문,빠/카페,사철탕전문,삼계탕전문,샌드위치/브런치/샐러드,생과일주스전문점,생선찜전문,샤브샤브전문,설렁탕집,소주방/포장마차,수산물전문음식점,순대전문점,순두부전문,스낵,스테이크전문점,스파게티전문점,쌈밥전문,아구전문,아이스크림/빙수,오리고기전문,옻닭전문,와플/파이/디저트,우동전문점,이자까야,일반유흥주점,일반한식/백반,일식,재첩국전문,전통찻집/인삼찻집,정통양식/경양식,제과점,조개구이전문,족발/보쌈전문,죽전문점,중국음식,찐빵/만두,찜닭전문점,참치전문점,철판구이요리전문,초밥전문,추어탕전문,카레전문점,커피전문점,케익전문점,콩나물국밥,토스트전문,토종닭전문,파전전문,패밀리레스토랑,패스트푸드,퓨전음식전문,피자전문,한식부페,한정식전문,핫도그,해물찜/탕전문,해장국/감자탕,호두과자,호떡/붕어빵,호프/맥주,홍어전문,황태전문,횟집,후라이드/양념치킨,탕수육전문점,해물부페,보드게임카페
2019-01,361566924,24369353616,533604967,57585215,164664660,646638333,1189072287,1135387477,6403133784,352796150,85270750,694720459,115977960,1849660988,932199778.0,1350091855,570104648,625790331,1215909142,16732664,367311317,264823794,1145927340,86888111,480131250,434285619,160948866,1509896615,1138361965,5957849419,8591581955,1359547954,325435291,466719870,292486293,972357761,200575872,53413518,79603086,135419566,628206317,1160265672,114395181,188951196,1170783268,124593017,684770340,389796572,168785744,211043158,1224700916,842711689,1914459177,1967535459,1273069544,803807206,730496859,765394669,467385909,13112445,916888822,945157862,659638399,9114430,175047402,401182030,532218876,15107351681,84102157014,7842164280,9032815.0,1445850426,6733350309,8484577172,274690871,2045681860,365522652,8666349778,602037373,108651379,482453353,78212831.0,2072828263,263942325,124562875,15776811807,106291910,316462259,131114131,90093703,103293593,791783994,5229775559,42100881,2071829223,105796800,184076375,237174567,662781582,7761814635,22451026.0,48191082,7847453050,79581036,58619184,18241898672,10048877468,,,
2019-02,320615760,22367934520,629333079,40258668,96994171,671161644,921645273,1031222694,6053418575,278962321,115042011,582008775,139205388,1839019518,794880305.0,1236220182,566148390,529686529,1046189563,13152910,306262018,215160000,1025539953,69550839,452111658,386171357,114139283,1784807926,945061032,5278877018,7849936047,1317851751,300281404,401747524,251017720,675443828,199445696,40681474,79276863,51987273,630050180,961105893,82336723,167665966,1307803059,116321743,565457173,318767470,196273058,260818804,971419511,719208108,1619874934,1700992997,987739995,777982424,847540745,717219974,392064810,20580880,738526620,937155241,606160625,11022000,190954749,340285185,509845286,13918848330,75604747295,7312411585,12810750.0,1444065462,6394294250,7955431007,199855496,1734306586,300408720,8044352058,473263649,82068105,374204000,87102322.0,1892545147,199288021,130567139,15212076104,64373087,264240852,142475674,63097223,93376343,728431040,4696345995,24741700,1908998558,86889795,202680192,209816576,679870376,6587446986,9357332.0,37032199,7424288821,59769537,53307286,16670961975,8635721529,,,
2019-03,366051836,22762538150,594528118,31612114,122070983,621995764,1190395363,1162217081,5881694730,208215088,151383854,561904410,142994693,1867235626,1243356500.0,1401938695,689200200,602979629,1110561807,12142900,356341517,241683069,1021836418,81357962,394958851,432850604,214588018,1453016505,1104913579,5513566160,9118636843,1287243275,323753013,448297784,273091629,682417487,209747832,42474912,100810500,55089419,619654013,1090178049,99622477,164558721,1429932930,195822606,733454627,426829459,191197355,354425296,1170481115,788457518,1779665062,1712770269,1146010627,1047507537,754333348,726099103,381830802,26279876,936339102,941714789,760050460,19255900,206302845,363085858,475032874,16973341652,83079409197,7722048701,9597565.0,1468813832,6649712387,8633112362,198960606,2137050823,330915884,8853764240,622942906,119824632,485665501,78258217.0,2181949747,229037539,137405337,15814578876,124127915,283298410,133489550,130369023,109264478,539811071,4594427379,53610734,1827953224,104247255,251212468,232883597,677296020,7425127759,83565024.0,41866465,8219818499,67157244,66081823,17726488298,9334250366,,,
2019-04,365737036,22607556394,637279440,34473209,107957576,825736850,1182171794,1050005185,6154215271,218188340,82168511,586822492,211092360,1748082251,1253790550.0,1281762128,824718399,610929928,1011937369,24308628,362753725,338861481,1056847357,117612001,519544542,398607955,149164361,1702694283,1129126706,5604684892,8537102558,1266979204,359965370,316752397,304662990,592687825,238843292,40174463,106406003,112041717,661798385,1089325813,116696190,187921618,1814747706,158969020,742185794,391403610,190585352,386244191,1035633135,715000985,1523920727,1795597313,1104967249,1170962889,782051821,712362224,335974725,15725000,774111152,1060146729,634962073,15700000,205472279,405278734,523255218,14934034519,85442832137,7958802184,9782953.0,1339259708,6627042522,8177533260,214986044,2005565081,376096441,8659682353,564864415,102756978,501794336,76695537.0,2192864910,290226417,101522369,16057977388,77756168,259503046,126897502,127056184,81811080,472965187,4618809031,30574134,1671320254,79926896,206923068,267232780,735508310,6981599526,40536817.0,46805632,8122047684,100452131,52841506,18778168169,8965365905,,,
2019-05,319419125,24199251080,782394979,56633875,115491636,662582700,1312366655,1154762813,6759780821,182514108,66670592,685016933,223902206,1688743701,1027946653.0,1379528100,1376137784,593571958,1075875983,21307000,403678025,344679257,1143585847,158816636,499797335,430407528,170382064,1548972146,1251996015,6067767241,8745494250,1389577350,312227172,529782176,283112721,665947953,226354721,42100613,106966531,55603735,602238567,1134665896,110065209,183381892,1727153979,185072738,865519585,515017830,249076332,471583415,1197055631,801070662,1750121635,2213254229,1156992198,1292673225,1015711477,850508182,446098436,19236139,879420024,1294134822,814648418,10382143,221259177,1031890470,526003004,16450999314,93310042940,9102661128,13365275.0,1462985490,7816155883,8610835808,200704000,2096351101,366948192,9210190661,603957813,122019323,569145469,72558233.0,2321006651,260194303,151055653,18283059547,103307078,260276736,157214124,163053464,85882395,539680600,5187582654,44554365,1819502823,95954800,239194743,289207689,775884795,6855305912,31339634.0,40988570,8357399399,77445728,74683923,19358886744,9710805639,,,
2019-06,359859665,23666945871,851142463,28911513,139883032,807926189,1183016949,1078690385,7149008630,173980084,67418439,675424099,250962152,1674226394,1160393887.0,1400393041,1257106612,559905919,1105259354,15394848,377847395,316049462,1157835150,191208290,489872256,434023213,203938018,1504196412,1166855833,6307979283,8329130810,1235106750,290114691,414906656,302942320,596303098,261212001,34736091,94247701,83801115,651639809,1045519794,118400966,194216389,1483825469,213534939,887203849,468955878,262748725,413049999,978800974,724154193,1871464801,2171179855,1050904829,1275112210,1094203640,789096972,402943077,16491999,759416860,1276858024,682843690,29761846,205747006,958461606,447485258,15753007443,93312507569,8703328163,12950452.0,1662591393,8294600082,8251820736,220659932,2050684331,301825380,9277472941,568589025,126529922,454769716,52812472.0,2200863713,210850199,161232770,18856497063,101621550,274822251,130696507,159755657,96226666,521778445,5274689792,36027522,1829776497,94751185,228694371,282877980,791273441,6745349256,24739069.0,48755881,8823785095,50778750,58104557,21355741557,10166288691,2112000.0,984000.0,
2019-07,336975021,24545711228,895964439,43597672,98431200,916437641,1391530305,1024876190,7625737894,147400003,75927497,763784753,262606307,1697110789,849786436.0,1327896557,1439428445,526245823,1093914396,14229000,443755291,298842523,1346471722,190042063,534806920,435752072,179566557,1339581634,1248149609,6525670859,8489489813,1087439987,293131051,456748829,244460682,519672857,271583473,31228304,95921456,126081881,676321659,1206880242,86857352,181242983,1391175875,244540812,1549953447,439287689,279362130,391501891,927756580,849626168,1868906622,2448429352,1198356665,1236237183,1538726262,863203142,405030171,22342109,743930934,1494155039,633930450,55999308,242394669,1110833190,466314680,15493949962,96286282702,8418430434,,1415315655,8505198961,8399507001,191064205,2106656039,316906619,9586424183,764377670,80899452,450123495,19991306.0,2145188093,251026985,160302449,20335134949,116054742,295216487,121791643,205250398,99939231,532870092,5670680412,49087479,2272314474,154462993,259976178,286822625,727703317,6730211568,59317382.0,44579701,8711640197,63459928,63014776,19329810511,10602136419,10927250.0,4542500.0,
2019-08,320315874,28271649625,1170860146,47253879,150862464,1018481954,1555505202,1008443272,8917914799,162470048,77627570,846125341,313899397,1918605855,876205447.0,1573695214,1618326727,722194955,1169448032,11191666,507949897,380321632,1387358986,231975258,553138163,495046577,195981478,1528642762,1265447276,7551099487,8805902539,1115547591,295212670,566257348,248321820,674898187,257697649,29117346,97948858,52989065,714313240,1217055603,118492169,177973440,1588538938,306651956,1160542789,566305779,382997082,449070090,1139407286,903936346,1929352300,2791180829,1220288188,1366786521,2159609256,817666086,493165058,23618202,943142633,1627782181,681602277,38848002,297706182,1243664305,485242484,16033038940,111757029950,9693245810,,2016485722,9664065792,9613792331,205529590,2392319264,329124914,10669504562,739883587,119545796,497556362,12075230.0,2368100632,238053495,202305250,24090496712,127650553,367593289,169857398,238926974,88607492,625182145,6346683408,93172005,2341467604,181155008,270661911,273886935,891678467,7470962814,54359581.0,48098244,9731739353,61994800,64270323,21572191353,11362156216,12071770.0,6143063.0,
2019-09,331909330,20411716787,726401046,36979151,89781237,737591773,1083577140,840670748,6116394761,143455091,66370755,744918964,274210309,1837856749,958692790.0,1275618370,652706741,598110815,1017293474,13495384,431912483,256630699,1105956273,93265992,397328615,438029370,122171598,2001995256,1058746971,5242723895,8010086796,1020166105,240779546,377290862,240436332,560538681,202918365,35925260,92585810,47227180,655479657,1029585366,120271754,170549586,1577872800,139384884,627518363,487171790,213637033,401049550,1025874699,762091269,1664016863,2277756815,1008402845,1334169712,1410616793,723628050,315994895,21769999,727753193,1204413681,476758386,6084166,188517301,972902357,443455954,15206501322,78365902147,6820331952,,1779666237,6289021363,8788247811,231886716,1660816567,269076606,8163275515,662651587,106098202,407033592,6350400.0,1736312149,234329502,158257972,17651895726,87849773,351105908,110322575,82291582,138524887,659430998,4506472697,35780391,1750525786,159925942,195211817,204539950,781926725,6859174130,18296700.0,38933212,8830911000,68704455,55098345,17341315750,8783587169,17010000.0,5221000.0,
2019-10,337747663,24997205409,1112166195,70215364,126984798,821706293,1337664412,928214010,7478803939,265566226,93504740,869020064,316381274,1825653648,1365572427.0,1355362983,630822883,725374268,1116782360,15037667,685568811,373043707,1339053071,133692867,510349199,583854695,239913259,1744290278,1186963457,6591493463,8871011847,1190718761,327181846,398457507,338456974,582346789,226993534,32215144,101642665,98348147,837145361,1134168653,124139009,217335020,1577763273,157078625,657153057,509284495,265874482,460934914,1163483239,919302710,1891382999,2331978025,1330766838,1629928988,1560641448,762311888,344135568,38937103,865378850,1023036990,590674553,10604000,191296000,980148734,491714296,16266229157,100062780805,8856814107,,552030202,7589410558,9518524882,301417311,2077789363,353033270,9349915967,853483050,118767949,504489711,12449077.0,2056804944,263421011,134972975,21390873555,98106297,424986085,152567435,129863286,121396500,438145486,4893395577,38160895,1839571715,195333735,221253162,249443438,972684140,8132622726,12253500.0,43271185,9116020166,96208381,64850508,21890608515,10015732569,28014774.0,8311154.0,
