,연월,건강보조식품 소매업,골프장 운영업,과실 및 채소 소매업,관광 민예품 및 선물용품 소매업,그외 기타 분류안된 오락관련 서비스업,그외 기타 스포츠시설 운영업,그외 기타 종합 소매업,기타 갬블링 및 베팅업,기타 대형 종합 소매업,기타 수상오락 서비스업,기타 외국식 음식점업,기타 주점업,기타음식료품위주종합소매업,내항 여객 운송업,마사지업,면세점,버스 운송업,비알콜 음료점업,빵 및 과자류 소매업,서양식 음식점업,수산물 소매업,슈퍼마켓,스포츠 및 레크레이션 용품 임대업,여관업,여행사업,욕탕업,육류 소매업,일반유흥 주점업,일식 음식점업,자동차 임대업,전시 및 행사 대행업,정기 항공 운송업,중식 음식점업,차량용 가스 충전업,차량용 주유소 운영업,체인화 편의점,"피자, 햄버거, 샌드위치 및 유사 음식점업",한식 음식점업,호텔업,화장품 및 방향제 소매업,휴양콘도 운영업,택시 운송업
0,2018-01,328273485,328273485,2907284447,832353050,4704000,35817800,3343228460,90980000.0,7802312864,2811000,989509784,1879724299,3911140852,210694800,17082500,9586884752,990000.0,1243464147,1938656029,3584124207,2433194335,14840448995,3395069018,4628507876,403666761,368988030,1779137655,4242571785,3319760350,1527876610,1202546536,5849642627,1464967159,1120856730,16300240465,7754737089,1556090314,36025636830,4163517575,962804599,1952416963,
1,2018-02,570907937,570907937,3708246577,624690149,4282500,31370800,5734632710,97900000.0,7702395560,5859000,816888360,1656691208,4508128427,188406500,14254000,8264000121,20429000.0,1103508714,1932191336,3081303667,2783215128,14782622445,3107330655,3872277145,403858189,272364900,2671012191,3502734394,2943585775,1110744394,902445160,4412941324,1213594016,1131421055,15235455722,6843729360,1361296071,30031494381,4064045550,916490974,1456181007,
2,2018-03,478457437,478457437,3485079442,896912425,3445000,42428300,3509291018,186500000.0,7158407120,9025000,947687153,1938782420,4087901645,279083700,18830000,9697086524,,1322558345,2021212404,3678204054,2472546989,15063241111,3982569324,4064267299,522880541,323871410,1941249390,4349678544,3608103701,1297313733,1365104822,5566471109,1428407888,1181063298,16329571711,7895315195,1434812985,36538124742,3849267795,1076805724,1937749467,
3,2018-04,719701442,719701442,3808811641,1195512155,4168000,63382100,3473599950,75800000.0,7007236664,9233150,927454747,1975249333,4276637337,387474350,20037000,10623916519,8540000.0,1420166175,2088119701,3893320353,2718344102,15262327787,4533459837,5413985538,653693364,287938728,1950519210,4373402389,4239709195,1556230923,2351644020,5689272784,1463857656,975213889,15250613498,8000146588,1504376595,40163411230,4858510512,1011016720,2316340208,
4,2018-05,608697453,608697453,3304761670,1085472140,6084185,96156500,3740234000,112300000.0,7830273950,10867800,937042169,2013404045,4825611303,352134404,20048000,11830828221,4200000.0,1426157299,2164475051,4189581623,2576397829,16366135653,4561427050,5279828333,611750752,261223162,2184638164,4152435217,4178543447,1678009501,2645299250,5405794756,1516152206,938225743,16220829688,8909349917,1689290591,40469400154,5877113908,1107121068,2628547722,
5,2018-06,613084464,613084464,3127503931,1016747240,5453600,123104100,3577884100,25000000.0,7243354090,16141100,844241150,1796351456,4780427859,404753500,15269000,10598249555,11560000.0,1451786414,2021621558,4097460688,2462742538,16400188535,3980081769,5443094206,765885643,230141836,2096839823,3876737003,4146711233,1660979857,1897193615,4894899265,1531709769,854425878,15651839029,9205873076,1645670268,39560665103,5866637903,1028497373,2464067232,
6,2018-07,497119351,497119351,2398806762,869441322,3941425,81138910,3712405600,339300000.0,8298708870,18862500,798679449,1797850844,5160760823,348263650,17391000,9031408827,990000.0,1635235878,1926999308,4542461043,2344440864,16763473903,3688846128,5549082611,726988801,212765726,1978733844,3841028644,3943025509,1934127690,1481606654,6200023476,1611279262,862260786,16604915601,9610799880,1861314949,40234123635,6957165344,1109690301,2251453404,
7,2018-08,477369424,477369424,2507263347,946239500,9418000,116229074,3978347240,56500000.0,8047581320,15516900,869383182,1740380267,5457747914,450374600,14465500,11361434643,1200000.0,1710121959,2067848316,4836650604,2411577429,18062761139,2740812830,6499621081,685393377,223854602,2349160940,3737497510,4075093110,2379083678,1889971494,4561668535,1736461233,831703842,17324370231,10404834547,1957109986,42468775717,7197823538,1238533026,3165368905,235000.0
8,2018-09,737866289,737866289,4231792335,873865600,6448200,70203000,6705454304,155000000.0,8125887968,12921000,904366637,1968731038,5629486708,367166800,13762010,10439137914,5520000.0,1439264802,2246142602,4157483163,3467092248,18231178834,3787352146,4716560129,605580041,264834065,3305506274,4068552867,3602852895,1419364592,1777709180,4377639933,1510865856,819246622,16005105771,9130471008,1635476366,37183257343,5875599909,1176674472,2189951020,8000.0
9,2018-10,774794209,774794209,3555682926,1033178342,4868008,77739800,3749505586,121600000.0,7272407910,15508000,951769557,1864506389,4347222682,364368900,10913000,9986593968,1650000.0,1326027452,2014970117,3854165456,3001829934,16799740200,4873392467,5393177649,1070802269,260361600,2186314338,4022911130,3714085640,1317391041,2304183048,6109609408,1601331838,822022861,16731743713,8984618554,1670176417,39090904002,6199415499,1205222225,2218694659,120000.0
10,2018-11,969895231,969895231,3558883856,1089052823,3577625,64656300,3749781128,197800000.0,6861785670,17083000,917634878,1832901098,3992589303,295601600,13260000,10092509436,,1235633147,2154693667,3580939476,2794989104,15594243808,4666698555,5278004716,874276150,267423200,2125966057,4022648901,3798862943,1196646164,1591078480,5103931690,1536104895,972363258,17006552080,8190530433,1510339942,37920845515,5413931761,1246576809,1981647808,249000.0
11,2018-12,848872458,848872458,3206615711,848078304,3188600,41659100,3670477965,130000000.0,7546377860,7423000,1078979816,2202313422,4377379263,188939200,14376000,8533946365,,1317511697,2301722122,3894287771,2826506412,16471682797,4778390977,5097989168,627236423,344574774,2297923089,4476877327,3716061850,1420964582,1305174589,5108975999,1674486167,1214113524,17694549767,8028446574,1709476177,39644850772,6000718106,1147899306,1722028687,
